chinese,german
我在银行工作。,Ich arbeite in einer Bank.
我在银行工作。,Ich arbeite in einer Bank.
你能再说一遍吗？,Kannst du das wiederholen?
你能再说一遍吗？,Kannst du das wiederholen?
是的当然。,"Ja, natürlich."
是的当然。,"Ja, natürlich."
商店什么时候开门？,Wann öffnet der Laden?
商店什么时候开门？,Wann öffnet der Laden?
开放时间为 9:00。,Er öffnet um 9:00.
开放时间为 9:00。,Er öffnet um 9:00.
你为什么早走？,Warum bist du früh gegangen?
你为什么早走？,Warum bist du früh gegangen?
我有一个约会。,Ich hatte einen Termin.
我有一个约会。,Ich hatte einen Termin.
那是你的车吗？,Ist das dein Auto?
那是你的车吗？,Ist das dein Auto?
不，这不是我的。,"Nein, es ist nicht meins."
不，这不是我的。,"Nein, es ist nicht meins."
这部电影怎么样？,Wie war der Film?
这部电影怎么样？,Wie war der Film?
他很有趣。,Er war interessant.
他很有趣。,Er war interessant.
你有时间吗？,Hast du Zeit?
你有时间吗？,Hast du Zeit?
是的。我现在有时间。,Ja. Ich habe jetzt Zeit.
是的，我现在有时间。,"Ja, Ich habe jetzt Zeit."
那是什么噪音？,Was ist das für ein Geräusch?
那是什么噪音？,Was ist das für ein Geräusch?
是风。,Es ist der Wind.
是风。,Es ist der Wind.
你忙吗？,Bist du beschäftigt?
你忙吗？,Bist du beschäftigt?
不，我不忙。,"Nein, ich bin nicht beschäftigt."
不，我不忙。,"Nein, ich bin nicht beschäftigt."
我的手机在哪里？,Wo ist mein Handy?
我的手机在哪里？,Wo ist mein Handy?
它在桌子上。,Es liegt auf dem Tisch.
它在桌子上。,Es liegt auf dem Tisch.
你能跟我一起去吗？,Kannst du mitkommen?
你能跟我一起去吗？,Kannst du mitkommen?
是的。我跟你一起去。,Ja. Ich komme mit.
是的，我和你一起去。,"Ja, ich komme mit."
你什么时候到的？,Wann bist du angekommen?
你什么时候到的？,Wann bist du angekommen?
我昨天到的。,Ich bin gestern angekommen.
我昨天到的。,Ich bin gestern angekommen.
为什么这么冷？,Warum ist es so kalt?
为什么这么冷？,Warum ist es so kalt?
因为现在是冬天。,Weil es Winter ist.
因为现在是冬天。,Weil es Winter ist.
有问题吗？,Gibt es ein Problem?
有问题吗？,Gibt es ein Problem?
不，一切都很好。,"Nein, alles ist in Ordnung."
不，一切都很好。,"Nein, alles ist in Ordnung."
你觉得这里怎么样？,Wie gefällt es dir hier?
你觉得这里怎么样？,Wie gefällt es dir hier?
我非常喜欢它。,Es gefällt mir sehr gut.
我非常喜欢它。,Es gefällt mir sehr gut.
你同意？,Bist du einverstanden?
你同意？,Bist du einverstanden?
是的。我同意。,Ja. Ich bin einverstanden.
是的，我同意。,"Ja, ich bin einverstanden."
你在干什么？,Was machst du?
你在干什么？,Was machst du?
我正在读书。,Ich lese ein Buch.
我正在读书。,Ich lese ein Buch.
你去哪儿？,Wo bist du hingegangen?
你去哪儿？,Wo bist du hingegangen?
我去了公园。,Ich bin zum Park gegangen.
我去了公园。,Ich bin zum Park gegangen.
午餐时间是什么时候？,Wann ist das Mittagessen?
午餐时间是什么时候？,Wann ist das Mittagessen?
午餐时间为 12:00。,Das Mittagessen ist um 12:00.
午餐时间为 12:00。,Das Mittagessen ist um 12:00.
你为什么不进来？,Warum kommst du nicht rein?
你为什么不进来？,Warum kommst du nicht rein?
谢谢，我进来了。,"Danke, Ich komme rein."
谢谢，我进来了。,"Danke, Ich komme rein."
食物好吃吗？,Ist das Essen gut?
食物好吃吗？,Ist das Essen gut?
是的。味道好极了。,Ja. Es schmeckt toll.
是的，味道好极了。,"Ja, es schmeckt toll."
你是怎么做到的？,Wie hast du das gemacht?
你是怎么做到的？,Wie hast du das gemacht?
我练习了很多。,Ich habe viel geübt.
我练习了很多。,Ich habe viel geübt.
你独自生活吗？,Wohnst du alleine?
你独自生活吗？,Wohnst du alleine?
不，我和家人住在一起。,"Nein, Ich wohne mit meiner Familie."
不，我和家人住在一起。,"Nein, Ich wohne mit meiner Familie."
你的电话号码是什么？,Wie ist deine Telefonnummer?
你的电话号码是什么？,Wie ist deine Telefonnummer?
我的号码是 555-1234。,Meine Nummer ist 555-1234.
我的号码是 555-1234。,Meine Nummer ist 555-1234.
你害怕吗？,Hast du Angst?
你害怕吗？,Hast du Angst?
不，我不害怕。,"Nein, ich habe keine Angst."
不，我不害怕。,"Nein, ich habe keine Angst."
我在哪里可以找到出租车？,Wo finde ich ein Taxi?
我在哪里可以找到出租车？,Wo finde ich ein Taxi?
在酒店前面。,Vor dem Hotel.
在酒店前面。,Vor dem Hotel.
你能告诉我吗？,Kannst du es mir zeigen?
你能告诉我吗？,Kannst du es mir zeigen?
是的。我可以给你看。,Ja. Ich kann es dir zeigen.
是的，我可以给你看。,"Ja, Ich kann es dir zeigen."
你的预约是什么时候？,Wann ist dein Termin?
你的预约是什么时候？,Wann ist dein Termin?
他是明天早上。,Er ist morgen früh.
他是明天早上。,Er ist morgen früh.
为什么它很重要？,Warum ist es wichtig?
为什么它很重要？,Warum ist es wichtig?
因为这是必要的。,Weil es notwendig ist.
因为这是必要的。,Weil es notwendig ist.
火车晚点了吗，,"Ist der Zug verspätet,"
火车晚点了吗？,ist der Zug verspätet?
是的。他迟到了。,Ja. Er hat Verspätung.
是的，他迟到了。,"Ja, er hat Verspätung."
影片时长是多少？,Wie lange dauert der Film?
影片时长是多少？,Wie lange dauert der Film?
持续两个小时。,Er dauert zwei Stunden.
持续两个小时。,Er dauert zwei Stunden.
你明白吗？,Verstehst du?
你明白吗？,Verstehst du?
是的，我明白。,"Ja, ich verstehe."
是的，我明白。,"Ja, ich verstehe."
您的电子邮件地址是什么？,Wie ist deine Emailadresse?
您的电子邮件地址是什么？,Wie ist deine Emailadresse?
这是Name@example.com,Sie lautet Name@example.com
这是Name@example.com,Sie lautet Name@example.com
你渴吗？,Hast du Durst?
你渴吗？,Hast du Durst?
是的。我想要一些水。,Ja. Ich hätte gern Wasser.
是的，我想要水。,"Ja, Ich hätte gern Wasser."
出口在哪里？,Wo ist der Ausgang?
出口在哪里？,Wo ist der Ausgang?
他在那边。,Er ist dort drüben.
他在那边。,Er ist dort drüben.
我们可以稍后再谈吗？,Können wir später reden?
我们可以稍后再谈吗？,Können wir später reden?
是的，这适合我。,"Ja, das passt mir."
是的，这适合我。,"Ja, das passt mir."
演出什么时候开始？,Wann beginnt die Show?
演出什么时候开始？,Wann beginnt die Show?
晚上 8:00 开始。,Sie beginnt um 20:00.
晚上 8:00 开始。,Sie beginnt um 20:00.
你为什么选择那个？,Warum hast du das gewählt?
你为什么选择那个？,Warum hast du das gewählt?
我喜欢这个设计。,Mir hat das Design gefallen.
我喜欢这个设计。,Mir hat das Design gefallen.
这个位子有人吗？,Ist dieser Sitz besetzt?
这个位子有人吗？,Ist dieser Sitz besetzt?
不，他是自由的。,"Nein, er ist frei."
不，他是自由的。,"Nein, er ist frei."
有多远？,Wie weit ist es?
有多远？,Wie weit ist es?
大约八公里。,Es sind ungefähr acht Kilometer.
大约八公里。,Es sind ungefähr acht Kilometer.
你需要一个包吗？,Brauchen Sie eine Tüte?
你需要一个包吗？,Brauchen Sie eine Tüte?
是的，请。,"Ja, bitte."
是的，请。,"Ja, bitte."
你什么时候关门？,Wann schließen Sie?
你什么时候关门？,Wann schließen Sie?
我们于下午 6:00 关闭,Wir schließen um 18:00.
我们于下午 6:00 关闭,Wir schließen um 18:00.
你迷路了吗？,Hast du dich verirrt?
你迷路了吗？,Hast du dich verirrt?
是的。你能帮助我吗？,Ja. Kannst du mir helfen?
是的。你能帮助我吗？,Ja. Kannst du mir helfen?
我们应该在哪里见面？,Wo sollen wir uns treffen?
我们应该在哪里见面？,Wo sollen wir uns treffen?
我们在咖啡馆见面好吗？,Treffen wir uns im Cafe?
我们在咖啡馆见面好吗？,Treffen wir uns im Cafe?
我可以使用你的电话吗？,Kann ich dein Telefon benutzen?
我可以使用你的电话吗？,Kann ich dein Telefon benutzen?
是的。请。,Ja. Bitte schön.
是的。请。,Ja. Bitte schön.
你的航班什么时候起飞？,Wann ist dein Flug?
你的航班什么时候起飞？,Wann ist dein Flug?
他是今晚。,Er ist heute Abend.
他是今晚。,Er ist heute Abend.
你为什么不能来？,Warum kannst du nicht kommen?
你为什么不能来？,Warum kannst du nicht kommen?
我必须长时间工作。,Ich muss lange arbeiten.
我必须长时间工作。,Ich muss lange arbeiten.
是不是很贵？,Ist es teuer?
是不是很贵？,Ist es teuer?
不，它是负担得起的。,"Nein, Es ist erschwinglich."
不，它是负担得起的。,"Nein, es ist erschwinglich."
你怎么知道的？,Wie hast du das gewusst?
你怎么知道的？,Wie hast du das gewusst?
一位朋友告诉我的。,Ein Freund hat es mir gesagt.
一位朋友告诉我的。,Ein Freund hat es mir gesagt.
你有笔吗？,Hast du einen Stift?
你有笔吗？,Hast du einen Stift?
是的。这是。,Ja. Hier ist.
是的。这是。,Ja. Hier ist.
你说什么？,Was hast du gesagt?
你说什么？,Was hast du gesagt?
我说稍后见。,"Ich habe gesagt, bis später."
我说稍后见。,"Ich habe gesagt, bis später."
你在听吗？,Hörst du zu?
你在听吗？,Hörst du zu?
是的。我在听。,Ja. Ich höre zu.
是的，我在听。,"Ja, ich höre zu."
我的钥匙在哪里？,Wo sind meine Schlüssel?
我的钥匙在哪里？,Wo sind meine Schlüssel?
它们在架子上。,Sie sind auf dem Regal.
它们在架子上。,Sie sind auf dem Regal.
你能打开窗户吗？,Kannst du das Fenster öffnen?
你能打开窗户吗？,Kannst du das Fenster öffnen?
是的。我打开它。,Ja. Ich öffne es.
是的，我会打开它。,"Ja, ich öffne es."
你什么时候回来？,Wann kommst du zurück?
你什么时候回来？,Wann kommst du zurück?
我下周回来。,Ich komme nächste Woche zurück.
我下周回来。,Ich komme nächste Woche zurück.
为什么这么大声？,Warum ist es so laut?
为什么这么大声？,Warum ist es so laut?
附近正在施工。,Es gibt Bauarbeiten in der Nähe.
附近正在施工。,Es gibt Bauarbeiten in der Nähe.
清楚了吗？,Ist das klar?
清楚了吗？,Ist das klar?
是的，这很清楚。,"Ja, das ist klar."
是的，这很清楚。,"Ja, das ist klar."
你的旅行怎么样？,Wie war deine Reise?
你的旅行怎么样？,Wie war deine Reise?
她很棒。,Sie war wunderbar.
她很棒。,Sie war wunderbar.
你介意吗？,Macht es dir etwas aus?
你介意吗？,Macht es dir etwas aus?
不，继续吧。,"Nein, nur zu."
不，继续吧。,"Nein, nur zu."
我能为你做什么？,Was kann ich für dich tun?
我能为你做什么？,Was kann ich für dich tun?
我需要一些信息。,Ich brauche einige Informationen.
我需要一些信息。,Ich brauche einige Informationen.
你确定吗？,Bist du sicher?
你确定吗？,Bist du sicher?
是的，我确定。,"Ja, ich bin sicher."
是的，我确定。,"Ja, ich bin sicher."
最近的自动取款机在哪里？,Wo ist der nächste Geldautomat?
最近的自动取款机在哪里？,Wo ist der nächste Geldautomat?
他就在拐角处。,Er ist um die Ecke.
他就在拐角处。,Er ist um die Ecke.
你是学生吗？,Bist du Student?
你是学生吗？,Bist du Student?
是的。我是一名学生。,Ja. Ich bin Student.
是的，我是一名学生。,"Ja, ich bin Student."
你叫什么名字？,Wie heißt du?
你叫什么名字？,Wie heißt du?
我叫卢克。,Ich heiße Lukas.
我叫卢克。,Ich heiße Lukas.
你会说英语吗？,Kannst du Englisch?
你会说英语吗？,Kannst du Englisch?
是的，我会说英语。,"Ja, ich kann Englisch."
是的，我会说英语。,"Ja, ich kann Englisch."
你的生日是什么时候？,Wann hast du Geburtstag?
你的生日是什么时候？,Wann hast du Geburtstag?
我的生日是五月。,Ich habe im Mai Geburtstag.
我的生日是五月。,Ich habe im Mai Geburtstag.
你有宠物吗？,Hast du ein Haustier?
你有宠物吗？,Hast du ein Haustier?
不，我没有宠物。,"Nein, ich habe kein Haustier."
不，我没有宠物。,"Nein, ich habe kein Haustier."
你今年多大？,Wie alt bist du?
你今年多大？,Wie alt bist du?
我今年20岁了。,Ich bin 20 Jahre alt.
我今年20岁了。,Ich bin 20 Jahre alt.
你为什么在这里？,Warum bist du hier?
你为什么在这里？,Warum bist du hier?
我是来学习的。,Ich bin hier zum Lernen.
我是来学习的。,Ich bin hier zum Lernen.
你从哪里来的？,Woher kommst du?
你从哪里来的？,Woher kommst du?
我来自奥地利。,Ich komme aus Österreich.
我来自奥地利。,Ich komme aus Österreich.
这是你的书吗？,Ist das dein Buch?
这是你的书吗？,Ist das dein Buch?
是的。这是我的书。,Ja. Das ist mein Buch.
是的，这是我的书。,"Ja, das ist mein Buch."
你好吗？,Wie geht es dir?
你好吗？,Wie geht es dir?
我很好谢谢你。,"Mir geht es gut, danke."
我很好谢谢你。,"Mir geht es gut, danke."
你踢足球吗？,Spielst du Fußball?
你踢足球吗？,Spielst du Fußball?
是的。我喜欢踢足球。,Ja. Ich spiele Fußball gerne.
是的。我喜欢踢足球。,Ja. Ich spiele Fußball gerne.
你最喜欢什么颜色？,Was ist deine Lieblingsfarbe?
你最喜欢什么颜色？,Was ist deine Lieblingsfarbe?
我最喜欢的颜色是蓝色。,Meine Lieblingsfarbe ist blau.
,Meine Lieblingsfarbe ist blau.
